city,date,pm2_5,pm10,no,no2,so2,co,o3,aqi,aqi_bucket
Ahmedabad,2017-01-01,243.0320363208652,278.7129069021281,63.476825020457696,57.74801263571896,29.520801406947513,0.6999498316360058,60.51737811624539,195.1368764276792,Unhealthy
Kolkata,2017-01-02,188.31220328809846,297.4423641795448,6.543837072185184,87.59278817295954,50.78434524402319,0.9246782213565523,30.000746392781068,168.40400257581035,Unhealthy
Kolkata,2017-01-03,192.89482269576064,288.52626516412,5.529972891478805,11.84499400331326,33.862606314211405,1.299721943430511,15.133222953497697,158.3638083717352,Unhealthy
Chennai,2017-01-04,122.58131612223367,196.43111391261868,63.88819710447602,25.973902572668777,33.282894112748636,1.684829137724085,15.10954539919975,106.19618018074739,Unhealthy
Bengaluru,2017-01-05,210.48611080457832,283.5560060803143,5.994872086989989,85.37614045478821,35.98085198150466,1.2708330050798322,11.756287744223561,172.84312821267554,Unhealthy
Mumbai,2017-01-06,211.58524742340393,283.2065965469481,14.152867613358412,49.614152808901615,6.891368661337012,2.318640804157564,38.46579797600186,175.0885178971821,Unhealthy
Pune,2017-01-07,231.50119488894268,301.02301731771695,20.595624715114162,55.41602622559932,6.722231085055722,2.1845695491899972,59.47295467067422,193.3913944647095,Unhealthy
Mumbai,2017-01-08,270.55165811974166,364.25765515329357,74.14056762673376,17.07940016415356,15.779057433052985,0.5904545778210761,45.786336383959075,218.99256738373674,Very Poor
Pune,2017-01-09,229.24963083846663,314.8065293729378,49.00633742478862,87.22042458113104,38.386883622767655,1.0519983640450867,42.590085627449064,194.8261808774238,Unhealthy
Kolkata,2017-01-10,40.87418023033583,189.03835135440826,62.918357697249306,25.897254522733792,5.303716441798132,2.1309228569096685,87.75430782323788,78.38534740297052,Moderate
Bengaluru,2017-01-11,241.24915134873757,336.0835478180792,74.47256588850118,62.08616204015556,55.32278215490794,2.2000771555795984,59.43957415520237,205.93781627304065,Very Poor
Delhi,2017-01-12,37.79633808008661,91.33386312027932,29.388749152006028,68.36849426704512,40.06566092453672,2.274425485152653,61.94364176781442,56.39051944436657,Moderate
Kolkata,2017-01-13,292.0793867089491,420.9273221062008,59.12971408736549,28.87879357991646,19.083757751872817,0.5808671790768627,88.17291786543662,250.74762070679367,Very Poor
Mumbai,2017-01-14,27.117355488346654,52.22215526740928,7.357188926505069,60.91283290110243,22.289578959197968,1.5171413823294055,109.83231213187024,52.06085451413948,Moderate
Ahmedabad,2017-01-15,189.23686619778883,274.81461898002306,20.229591855107707,85.42828564463848,37.93760065686948,1.8895698660794091,106.85146229167835,179.4944779176986,Unhealthy
Mumbai,2017-01-16,246.27370627803674,344.95023218949603,70.35954426407883,74.29376615192916,15.26135323873197,2.2851179969799555,69.32764661072159,213.42180551425483,Very Poor
Mumbai,2017-01-17,54.18462731618854,114.06632464696503,73.01213311593155,31.770579950770824,40.622956629774926,0.5010407539906316,48.78257419675859,62.83915142191608,Moderate
Bengaluru,2017-01-18,21.946596548733396,103.4512189095926,36.30582523615843,27.76862483765842,11.592595203352555,1.175230342807256,113.72006743037711,57.18441802612649,Moderate
Hyderabad,2017-01-19,81.25398148045966,169.38826176288742,35.28771282935306,15.191379768718525,18.96534776638896,0.9937521256772024,86.59347001237671,93.3424750721545,Moderate
Bengaluru,2017-01-20,104.24592674869551,154.12359596154099,7.76652105158996,58.76514671839175,32.64734627758738,0.6029575024999787,40.651111066027255,96.95441945170059,Moderate
Delhi,2017-01-21,197.61837651638186,302.9171397340492,44.820093748785226,45.82265316584733,35.40911989892304,1.685393447758787,18.893865896598676,167.75365470090523,Unhealthy
Pune,2017-01-22,86.5385123178719,198.48880112353226,32.58373495394399,60.584466447486356,39.844134091849206,1.571549368149517,19.931874705984914,93.01183796958803,Moderate
Delhi,2017-01-23,62.20091231032025,143.34874105402088,57.18596050931614,78.66870438509758,22.92773978610366,0.9404820951310966,88.22644856818197,85.28236451811046,Moderate
Ahmedabad,2017-01-24,83.41881705542264,183.74300771274562,18.077482175374357,65.27501904819728,26.27044404652956,2.373459977473469,25.127303856059257,90.01097274629203,Moderate
